SOP,Title,date
2024-01-3424,"Razlaga Kolektivne pogodbe za dejavnost zdravstva in socialnega varstva Slovenije glede določbe 90.člena v zvezi s 97.členom KPZSV, ki opredeljuje nadomestilo plače, sprejete na 90. seji dne 22.11. 2024",17. 12. 2024
2024-01-3425,"Razlaga Kolektivne pogodbe za dejavnost zdravstva in socialnega varstva Slovenije glede določbe šestega odstavka 9.člena Aneksa h KPZSV (Uradni list RS, št.88/21), ki se nanaša na pravico do jubilejne nagrade, sprejete na 90. seji dne 22.11. 2024",17. 12. 2024
1991-03-0746,Zakon o spremembi zakona o delavcih v državnih organih (ZDDO-B),27. 4. 1991
2011-01-2352,Zakon o evropskih svetih delavcev (ZESD-1),24. 6. 2011
2024-01-3613,Aneks št. 8 h Kolektivni pogodbi grafične dejavnosti,23. 12. 2024
2024-01-3614,Dodatek št. 8 h Kolektivni pogodbi za dejavnost kovinskih materialov in livarn Slovenije,23. 12. 2024
2024-01-3737,Kolektivna pogodba dejavnosti gostinstva in turizma Slovenije,27. 12. 2024
2024-01-3738,Dogovor o zagotavljanju dnevnega in tedenskega počitka,27. 12. 2024
1991-03-0224,Zakon o spremembah in dopolnitvah zakona o delavcih v državnih organih (ZDDO-A),8. 2. 1991
1991-03-1011,Zakon o dopolnitvi zakona o delavcih v državnih organih (ZDDO-C),31. 5. 1991
1999-01-1875,Zakon o spremembi zakona o delavcih v državnih organih (ZDDO-G),21. 5. 1999
2020-01-0196,Zakon o spremembah in dopolnitvi Zakona o delavcih v državnih organih (ZDDO-H),7. 2. 2020
2006-01-5692,"Pravilnik o organizaciji, materialu in opremi za prvo pomoč na delovnem mestu",22. 12. 2006
2013-01-2544,"Aneks št. 11 k Tarifni prilogi h Kolektivni pogodbi časopisnoinformativne, založniške in knjigotrške dejavnosti",26. 7. 2013
2002-01-3227,Zakon o spremembah in dopolnitvah zakona o zdravniški službi (ZZdrS-A),26. 7. 2002
2003-01-0590,Zakon o spremembah in dopolnitvah zakona o zdravniški službi (ZZdrS-B),14. 2. 2003
2015-01-1930,"Zakon o zaposlovanju, samozaposlovanju in delu tujcev (ZZSDT)",30. 6. 2015
2016-01-1692,Uredba o spremembah in dopolnitvah Uredbe o plačah in drugih prejemkih javnih uslužbencev za delo v tujini,27. 5. 2016
2009-01-0486,Uredba o plačah in drugih prejemkih javnih uslužbencev za delo v tujini,20. 2. 2009
2025-01-0041,Aneks št. 16 h Kolektivni pogodbi javnega zavoda RTV Slovenija,10. 1. 2025
2025-01-0042,Aneks št. 8 h Kolektivni pogodbi za poklicne novinarje,10. 1. 2025
2015-01-0391,Razlaga Kolektivne pogodbe za kulturne dejavnosti v Republiki Sloveniji (KPK),20. 2. 2015
2006-01-0643,Pravilnik o varovanju delavcev pred tveganji zaradi izpostavljenosti hrupu pri delu,17. 2. 2006
2025-01-1902,Zakon o uveljavljanju delnega povračila nadomestila plače za skrajšani delovni čas (ZUDPNP),27. 6. 2025
2025-01-0250,Odredba o uskladitvi najnižje bruto urne postavke za opravljeno uro začasnih in občasnih del,7. 2. 2025
2025-01-0241,"Pravilnik o metodologiji za posredovanje in analizo podatkov o plačah, drugih izplačilih in številu zaposlenih v javnem sektorju",5. 2. 2025
2025-01-0372,Odredba o višini urne postavke in višini dohodka za opravljeno začasno ali občasno delo upokojencev,21. 2. 2025
2015-01-2731,Pravilnik o načinu in postopku preverjanja in potrjevanja nacionalnih poklicnih kvalifikacij,18. 9. 2015
2020-01-3216,Pravilnik o spremembah in dopolnitvah Pravilnika o načinu in postopku preverjanja in potrjevanja nacionalnih poklicnih kvalifikacij,10. 12. 2020
2022-01-2983,Pravilnik o spremembi Pravilnika o načinu in postopku preverjanja in potrjevanja nacionalnih poklicnih kvalifikacij,5. 10. 2022
2015-01-3517,Pravilnik o spremembi Pravilnika za opravljanje dejavnosti zagotavljanja dela delavcev uporabniku,27. 11. 2015
2014-01-0507,Pravilnik za opravljanje dejavnosti zagotavljanja dela delavcev uporabniku,28. 2. 2014
